2012-08-01 16:00 main ERROR- Can't find category for keyword:19740
2012-08-01 16:00 main ERROR- Can't find category for keyword:51071
2012-08-01 16:00 main ERROR- Can't find category for keyword:18473
2012-08-01 16:00 main ERROR- Can't find category for keyword:19290
2012-08-01 16:00 main ERROR- Can't find category for keyword:39133
2012-08-01 16:00 main ERROR- Can't find category for keyword:53529
2012-08-01 16:00 main ERROR- Can't find category for keyword:8160
2012-08-01 16:00 main ERROR- Can't find category for keyword:44964
2012-08-01 16:00 main ERROR- Can't find category for keyword:44572
2012-08-01 16:00 main ERROR- Can't find category for keyword:44334
2012-08-01 16:00 main ERROR- Can't find category for keyword:28633
2012-08-01 16:00 main ERROR- Can't find category for keyword:58223
2012-08-01 16:00 main ERROR- Can't find category for keyword:12240
2012-08-01 16:00 main ERROR- Can't find category for keyword:29150
2012-08-01 16:00 main ERROR- Can't find category for keyword:46021
2012-08-01 16:00 main ERROR- Can't find category for keyword:46546
2012-08-01 16:01 main INFO- Mongo not exist ,try to build one new connection！
2012-08-01 16:02 main INFO- Begin to dump keywordMap....
2012-08-01 16:02 main INFO- Mongo not exist ,try to build one new connection！
2012-08-01 16:02 main INFO- KeywordDump finished ,dump size:22992
2012-08-01 16:02 main ERROR- Can't find category for keyword:38
2012-08-01 16:04 main INFO- Mongo not exist ,try to build one new connection！
2012-08-01 16:05 main INFO- Begin to dump keywordMap....
2012-08-01 16:05 main INFO- Mongo not exist ,try to build one new connection！
2012-08-01 16:05 main INFO- KeywordDump finished ,dump size:22992
2012-08-01 16:05 main ERROR- Can't find category for keyword:38
2012-08-01 16:06 main INFO- Mongo not exist ,try to build one new connection！
2012-08-01 16:07 main INFO- Begin to dump keywordMap....
2012-08-01 16:07 main INFO- Mongo not exist ,try to build one new connection！
2012-08-01 16:07 main INFO- KeywordDump finished ,dump size:22992
2012-08-01 16:07 main ERROR- Can't find category for keyword:38
2012-08-01 16:07 main ERROR- Can't find category for keyword:36
2012-08-01 16:07 main ERROR- Can't find category for keyword:531
